gene	HM_MG10	HM_MG11	HM_MG12	HM_MG13	HM_MG14	HM_MG15	HM_MG16	HM_MG17	HM_MG18	HM_MG19	HM_MG20	HM_MG21	HM_MG22	HM_MG23	HM_MG24	HM_MG3	HM_MG4	HM_MG5	HM_MG6	HM_MG7	HM_MG8	HM_MG9
HM_MG11_290740	0.0	0.00518261610952	0.00197018547134	0.00279122730993	0.0	0.0	0.00543404257838	0.0017943473716	0.00143764407482	0.0	0.0	0.0100009637144	0.00369982186621	0.0	0.0	0.000410814610723	0.0	0.0	0.0	0.0	0.000110764588678	0.0
HM_MG11_314215	0.0	0.00164989991898	0.000637537894064	5.21089123212e-05	0.0	0.0	0.00121736466326	0.000689108091329	0.000247745736988	0.0	0.0	0.000231773662757	0.000184190058546	0.0	0.0	0.0	0.0	0.0	0.00138014428595	0.000185310251981	0.0	0.0
HM_MG11_505973	0.0	0.00139112342009	0.000394037094267	6.97806827483e-05	0.0	0.0	0.0018018139623	0.000422952228843	0.000165882167114	0.0	0.0	0.00274164602414	0.000739964373241	0.0	0.0	0.000123244099756	0.0	0.0	0.000132013900275	0.0	0.0	0.0
HM_MG11_538566	0.0	0.00102222956244	0.000144774130985	0.000410212335693	0.0	0.0	0.00113487200436	0.000310796398194	0.000365681635568	0.0	0.0	0.00201462704254	0.000785405509667	0.0	0.0	3.01874812207e-05	0.0	0.0	0.0	0.0	0.0	0.0
HM_MG11_621203	0.0	0.00419899890744	0.001744694831	0.0	0.0	0.0	0.0055580420574	0.00159520006792	2.41473403245e-05	0.0	0.0	0.000451810712221	2.99210878642e-05	0.0	0.0	0.0	0.0	0.0	0.00701426463355	0.00115144568798	0.0	0.0
HM_MG11_739142	0.0	0.000208095411518	0.000167005995079	0.0	0.0	0.0	0.000109095268542	7.60502172863e-05	0.0	0.0	0.0	1.46163346016e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000186505984588	2.6293991871e-05	0.0	0.0
HM_MG11_75236	0.0	0.00271579247515	0.00101374155455	0.0	0.0	0.0	0.00284754487544	0.00148381893336	5.12120025913e-05	0.0	0.0	0.00239551194649	0.000698026345648	0.0	0.0	0.0	0.0	0.0	0.00142645880017	4.78822474353e-05	0.0	0.0
HM_MG12_135278	0.0	0.000323107847538	0.000518617370775	0.0	0.0	0.0	0.000148217710997	0.000341595873947	1.63746368799e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016289282396	0.000857357501974	0.0	0.0
HM_MG12_135511	0.0	0.000439743882918	0.00124696507629	4.99985555395e-05	0.0	0.0	0.000553294022923	0.000661200460573	7.13136876515e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00141883915396	0.00111128447809	0.0	0.0
HM_MG12_162176	0.0	0.00297801040617	0.00162519655068	0.0002031590351	0.0	0.0	0.00237309368192	0.00134332567481	0.000289768083894	0.0	0.0	0.00165664284745	0.000478737405827	0.0	0.0	0.0	0.0	0.0	0.0	0.000451546069599	0.0	0.0
HM_MG12_191354	0.0	0.00137457123256	0.000636436757129	0.0	0.0	0.0	0.00171842142654	0.000869450443328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00571441584231	0.000641297298686	0.0	0.0
HM_MG12_28844	0.0	0.00219920217496	0.00114927429185	0.000392515287207	0.0	0.0	0.00166238633134	0.000672879269451	0.00029029459366	0.0	0.0	0.00116390639835	0.000565248593083	0.0	0.0	0.000154054912099	0.0	0.0	8.25085168789e-05	0.00065916051856	4.15366061131e-05	0.0
HM_MG12_299892	0.0	0.0	0.000544315097358	0.000530165149983	0.0	0.0	5.92616273563e-05	0.000292129406084	0.000664524000833	0.0	0.0	0.000321559718167	0.000681446854861	0.0	0.0	5.67489270995e-05	0.0	0.0	4.55903517881e-05	0.000321371011757	2.29511880278e-05	0.0
HM_MG12_303597	0.0	0.00382126008927	0.00224282788278	0.0	0.0	0.0	0.00544182769726	0.00300144326943	0.0	0.0	0.0	0.00274007909596	0.000114606971045	0.0	0.0	0.0	0.0	0.0	0.00662471989944	0.000172956249452	0.0	0.0
